hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,booking_changes,deposit_type,agent,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests
Resort Hotel,0.0,9,0,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,98.0,1.0,2.0
Resort Hotel,0.0,1,0,July,27,3,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,131.0,0.0,1.0
Resort Hotel,0.0,21,0,July,27,3,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,9,0,July,27,3,0,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,C,0,0,241.0,0.0,0.0,94.71,0.0,0.0
Resort Hotel,0.0,109,0,July,27,3,0,1,2,0,0,BB,BEL,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,123.0,0.0,2.0
Resort Hotel,1.0,109,0,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,123.0,0.0,1.0
Resort Hotel,1.0,72,0,July,27,3,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,73.8,0.0,1.0
Resort Hotel,1.0,63,0,July,27,3,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,0,0,242.0,0.0,0.0,117.0,0.0,1.0
Resort Hotel,0.0,63,0,July,27,3,2,5,3,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,E,0,0,105.0,0.0,0.0,196.54,0.0,1.0
Resort Hotel,0.0,101,0,July,27,3,2,5,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,99.3,1.0,2.0
Resort Hotel,0.0,102,0,July,27,3,2,5,2,0,0,BB,DEU,Direct,Direct,0,0,0,E,0,0,250.0,0.0,0.0,90.95,0.0,0.0
Resort Hotel,0.0,4,0,July,27,4,2,1,2,0,0,BB,ESP,Direct,Direct,0,0,0,A,0,0,250.0,0.0,0.0,92.67,0.0,1.0
Resort Hotel,0.0,98,0,July,27,4,2,1,2,0,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,D,0,0,8.0,0.0,0.0,71.55,1.0,0.0
Resort Hotel,0.0,92,0,July,27,4,2,4,1,2,0,BB,FRA,Offline TA/TO,TA/TO,0,0,0,F,0,0,241.0,0.0,0.0,96.49,0.0,2.0
Resort Hotel,0.0,95,0,July,27,4,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,85.8,1.0,2.0
Resort Hotel,0.0,102,0,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,96.3,0.0,1.0
Resort Hotel,1.0,26,0,July,27,4,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,0,0,240.0,0.0,0.0,163.0,0.0,0.0
Resort Hotel,1.0,73,0,July,27,4,2,5,3,0,0,HB,PRT,Direct,Direct,0,0,0,D,0,0,250.0,0.0,0.0,172.0,0.0,1.0
Resort Hotel,1.0,102,0,July,27,4,2,5,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,110.7,0.0,1.0
Resort Hotel,0.0,115,0,July,27,4,2,5,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,134.0,0.0,0.0,58.95,0.0,1.0
Resort Hotel,0.0,102,0,July,27,4,2,5,2,0,1,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,73.8,0.0,2.0
Resort Hotel,0.0,86,0,July,27,4,2,5,2,0,0,BB,CHE,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,0.0,2.0
Resort Hotel,0.0,78,0,July,27,4,2,5,2,0,1,HB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,139.0,0.0,2.0
Resort Hotel,0.0,52,0,July,27,4,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,0,0,147.0,0.0,0.0,67.24,0.0,0.0
Resort Hotel,0.0,29,0,July,27,4,2,6,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,241.0,0.0,0.0,116.5,0.0,1.0
Resort Hotel,1.0,101,0,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,96.3,0.0,1.0
Resort Hotel,0.0,109,0,July,27,4,2,6,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,123.0,0.0,1.0
Resort Hotel,0.0,92,0,July,27,4,4,6,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,0,40.0,0.0,1.0,71.55,0.0,1.0
Resort Hotel,0.0,92,0,July,27,4,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,40.0,0.0,1.0,71.55,0.0,1.0
Resort Hotel,0.0,30,0,July,27,4,0,1,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,8.0,0.0,1.0,79.5,0.0,0.0
Resort Hotel,1.0,51,0,July,27,4,0,1,1,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,105.0,0.0,0.0
Resort Hotel,1.0,73,0,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,73.8,0.0,2.0
Resort Hotel,1.0,33,0,July,27,4,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,113.0,0.0,0.0
Resort Hotel,0.0,8,0,July,27,4,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,100,0,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,3.0,73.8,1.0,1.0
Resort Hotel,0.0,1,0,July,27,4,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,114.5,0.0,0.0
Resort Hotel,0.0,100,0,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,3.0,73.8,0.0,2.0
Resort Hotel,0.0,100,0,July,27,4,1,1,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,3.0,73.8,0.0,1.0
Resort Hotel,0.0,9,0,July,28,5,1,0,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,88.2,0.0,1.0
Resort Hotel,1.0,5,0,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,0.0,0.0
Resort Hotel,0.0,9,0,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,0,184.0,0.0,0.0,89.0,0.0,0.0
Resort Hotel,0.0,2,0,July,28,5,1,0,1,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,80.1,0.0,0.0
Resort Hotel,0.0,2,0,July,28,5,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,98.0,0.0,0.0
Resort Hotel,0.0,9,0,July,28,5,1,0,1,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,0,0,184.0,0.0,0.0,101.0,1.0,0.0
Resort Hotel,0.0,2,0,July,28,5,1,0,2,0,0,BB,PRT,Direct,Direct,0,0,0,G,0,0,214.65992721391024,0.0,0.0,167.0,0.0,1.0
Resort Hotel,0.0,80,0,July,28,5,2,0,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,1.0,0.0
Resort Hotel,0.0,97,0,July,28,5,2,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,87.3,0.0,2.0
Resort Hotel,0.0,109,0,July,28,5,2,3,2,1,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,A,0,0,241.0,0.0,0.0,85.59,1.0,2.0
Resort Hotel,0.0,30,0,July,28,5,2,3,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,64,0,July,28,5,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,107.0,0.0,0.0
Resort Hotel,0.0,39,0,July,28,5,2,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,H,0,0,240.0,0.0,0.0,163.0,0.0,0.0
Resort Hotel,0.0,90,0,July,28,5,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,82.0,0.0,0.0
Resort Hotel,1.0,34,0,July,28,5,2,4,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,H,0,0,240.0,0.0,0.0,163.0,0.0,0.0
Resort Hotel,1.0,93,0,July,28,5,2,5,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,15.0,0.0,0.0,105.5,0.0,0.0
Resort Hotel,0.0,29,0,July,28,5,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,F,0,0,241.0,0.0,0.0,97.29,0.0,1.0
Resort Hotel,1.0,101,0,July,28,5,2,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,114.0,0.0,1.0
Resort Hotel,0.0,27,0,July,28,5,2,5,2,0,0,BB,ESP,Offline TA/TO,TA/TO,0,0,0,E,0,0,175.0,0.0,0.0,98.4,0.0,0.0
Resort Hotel,0.0,82,0,July,28,5,4,6,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,0,0,5.0,0.0,0.0,63.6,1.0,2.0
Resort Hotel,0.0,110,0,July,28,5,4,7,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,0,40.0,0.0,1.0,110.7,0.0,0.0
Resort Hotel,0.0,96,0,July,28,5,4,10,1,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,0,40.0,0.0,1.0,74.07,0.0,0.0
Resort Hotel,0.0,79,0,July,28,5,4,10,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,D,0,0,243.0,0.0,1.0,134.1,0.0,0.0
Resort Hotel,0.0,111,0,July,28,6,1,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,123.0,0.0,2.0
Resort Hotel,0.0,51,0,July,28,6,1,3,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,0,0,241.0,0.0,0.0,117.81,1.0,2.0
Resort Hotel,0.0,94,0,July,28,6,1,3,3,0,0,BB,CN,Offline TA/TO,TA/TO,0,0,0,D,0,0,96.0,0.0,0.0,171.32,0.0,1.0
Resort Hotel,0.0,81,0,July,28,6,1,3,2,2,0,HB,CHE,Direct,Direct,0,0,0,G,0,0,250.0,0.0,0.0,210.0,1.0,0.0
Resort Hotel,0.0,51,0,July,28,6,1,3,3,0,0,BB,USA,Online TA,TA/TO,0,0,0,G,0,0,241.0,0.0,0.0,117.81,0.0,2.0
Resort Hotel,0.0,111,0,July,28,6,0,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,0.0,0.0,2.0
Resort Hotel,0.0,0,0,July,28,6,0,0,1,0,0,BB,PRT,Direct,Direct,0,0,0,E,0,0,250.0,0.0,0.0,0.0,0.0,0.0
Resort Hotel,0.0,2,0,July,28,6,1,0,2,1,0,BB,PRT,Direct,Direct,0,0,0,A,0,0,214.65992721391024,0.0,0.0,131.0,0.0,0.0
Resort Hotel,0.0,7,0,July,28,6,1,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,98.0,0.0,2.0
Resort Hotel,0.0,98,0,July,28,6,1,1,2,0,0,BB,USA,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,87.3,1.0,1.0
Resort Hotel,0.0,95,0,July,28,6,1,2,2,0,0,BB,GRC,Online TA,TA/TO,0,0,0,D,0,0,240.0,0.0,0.0,97.0,0.0,1.0
Resort Hotel,1.0,48,0,July,28,6,1,3,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,167.0,0.0,0.0
Resort Hotel,0.0,66,0,July,28,6,1,3,2,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,175.0,0.0,0.0,91.5,0.0,0.0
Resort Hotel,0.0,28,0,July,28,6,1,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,E,0,0,240.0,0.0,0.0,123.0,0.0,0.0
Resort Hotel,0.0,34,0,July,28,6,1,4,2,0,0,HB,PRT,Direct,Direct,0,0,0,F,0,0,250.0,0.0,0.0,175.0,1.0,0.0
Resort Hotel,0.0,98,0,July,28,6,1,5,2,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,0,0,240.0,0.0,0.0,117.8,1.0,1.0
Resort Hotel,0.0,68,0,July,28,6,2,5,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,G,0,0,240.0,0.0,0.0,185.0,0.0,0.0
Resort Hotel,1.0,86,0,July,28,6,2,5,1,0,0,HB,PRT,Offline TA/TO,TA/TO,0,0,0,A,0,0,175.0,0.0,0.0,71.0,0.0,1.0
Resort Hotel,0.0,258,0,July,28,6,2,5,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,0,0,2.0,0.0,1.0,47.25,0.0,0.0
